"Rank","Player","Team","Bye","POS","AVG"
"1","Ja'Marr Chase","CIN","10","WR1","1.0"
"2","Saquon Barkley","PHI","9","RB1","3.0"
"3","Justin Jefferson","MIN","6","WR2","3.0"
"4","Bijan Robinson","ATL","5","RB2","3.0"
"5","CeeDee Lamb","DAL","10","WR3","5.5"
"6","Jahmyr Gibbs","DET","8","RB3","5.5"
"7","Puka Nacua","LAR","8","WR4","7.5"
"8","Malik Nabers","NYG","14","WR5","8.0"
"9","Nico Collins","HOU","6","WR6","10.0"
"10","Christian McCaffrey","SF","14","RB4","11.0"
"11","Ashton Jeanty","LV","8","RB5","11.0"
"12","Amon-Ra St. Brown","DET","8","WR7","11.0"
"13","Brian Thomas Jr.","JAC","8","WR8","11.5"
"14","Drake London","ATL","5","WR9","15.0"
"15","Derrick Henry","BAL","7","RB6","15.0"
"16","Brock Bowers","LV","8","TE1","15.5"
"17","De'Von Achane","MIA","12","RB7","16.5"
"18","A.J. Brown","PHI","9","WR10","18.0"
"19","Ladd McConkey","LAC","12","WR11","19.0"
"20","Jonathan Taylor","IND","11","RB8","20.0"
"21","Trey McBride","ARI","8","TE2","23.0"
"22","Bucky Irving","TB","9","RB9","23.0"
"23","Tee Higgins","CIN","10","WR12","23.0"
"24","Garrett Wilson","NYJ","9","WR13","24.0"
"25","Josh Jacobs","GB","5","RB10","26.0"
"26","Jaxon Smith-Njigba","SEA","8","WR14","27.5"
"27","Tyreek Hill","MIA","12","WR15","28.5"
"28","Marvin Harrison Jr.","ARI","8","WR16","29.0"
"29","Rashee Rice","KC","10","WR17","30.0"
"30","Terry McLaurin","WAS","12","WR18","30.0"
"31","Davante Adams","LAR","8","WR19","31.5"
"32","Kyren Williams","LAR","8","RB11","33.0"
"33","Breece Hall","NYJ","9","RB12","34.0"
"34","Mike Evans","TB","9","WR20","34.0"
"35","DJ Moore","CHI","5","WR21","34.5"
"36","Chase Brown","CIN","10","RB13","34.5"
"37","Josh Allen","BUF","7","QB1","34.5"
"38","Lamar Jackson","BAL","7","QB2","34.5"
"39","Xavier Worthy","KC","10","WR22","37.5"
"40","Jayden Daniels","WAS","12","QB3","39.5"
"41","James Cook","BUF","7","RB14","42.0"
"42","DeVonta Smith","PHI","9","WR23","43.0"
"43","Jameson Williams","DET","8","WR24","44.0"
"44","Tetairoa McMillan","CAR","14","WR25","44.5"
"45","Omarion Hampton","LAC","12","RB15","45.0"
"46","George Kittle","SF","14","TE3","47.0"
"47","Jalen Hurts","PHI","9","QB4","48.0"
"48","DK Metcalf","PIT","5","WR26","48.5"
"49","Zay Flowers","BAL","7","WR27","49.5"
"50","Courtland Sutton","DEN","12","WR28","51.5"
"51","Joe Burrow","CIN","10","QB5","52.5"
"52","Joe Mixon","HOU","6","RB16","54.0"
"53","Travis Hunter","JAC","8","WR29","55.0"
"54","Kenneth Walker III","SEA","8","RB17","56.0"
"55","Jaylen Waddle","MIA","12","WR30","56.5"
"56","Rome Odunze","CHI","5","WR31","57.0"
"57","Chris Godwin","TB","9","WR32","58.0"
"58","Chuba Hubbard","CAR","14","RB18","58.0"
"59","TreVeyon Henderson","NE","14","RB19","59.0"
"60","Alvin Kamara","NO","11","RB20","60.5"
"61","Jordan Addison","MIN","6","WR33","61.5"
"62","Calvin Ridley","TEN","10","WR34","62.0"
"63","Chris Olave","NO","11","WR35","62.0"
"64","Jauan Jennings","SF","14","WR36","62.5"
"65","George Pickens","DAL","10","WR37","64.0"
"66","Deebo Samuel Sr.","WAS","12","WR38","65.0"
"67","James Conner","ARI","8","RB21","67.0"
"68","Jerry Jeudy","CLE","9","WR39","67.0"
"69","Sam LaPorta","DET","8","TE4","68.5"
"70","David Montgomery","DET","8","RB22","69.5"
"71","Ricky Pearsall","SF","14","WR40","72.5"
"72","Quinshon Judkins","CLE","9","RB23","74.0"
"73","Jakobi Meyers","LV","8","WR41","74.0"
"74","Jayden Reed","GB","5","WR42","76.0"
"75","Khalil Shakir","BUF","7","WR43","77.0"
"76","Kaleb Johnson","PIT","5","RB24","77.5"
"77","Matthew Golden","GB","5","WR44","77.5"
"78","Patrick Mahomes II","KC","10","QB6","80.5"
"79","Aaron Jones Sr.","MIN","6","RB25","81.5"
"80","Stefon Diggs","NE","14","WR45","81.5"
"81","Tony Pollard","TEN","10","RB26","83.0"
"82","T.J. Hockenson","MIN","6","TE5","85.5"
"83","Najee Harris","LAC","12","RB27","86.5"
"84","Josh Downs","IND","11","WR46","87.0"
"85","Brandon Aiyuk","SF","14","WR47","88.5"
"86","Baker Mayfield","TB","9","QB7","88.5"
"87","Emeka Egbuka","TB","9","WR48","89.0"
"88","Cooper Kupp","SEA","8","WR49","89.5"
"89","Darnell Mooney","ATL","5","WR50","91.0"
"90","Jaylen Warren","PIT","5","RB28","93.0"
"91","Kyler Murray","ARI","8","QB8","94.5"
"92","Bo Nix","DEN","12","QB9","95.5"
"93","Tyrone Tracy Jr.","NYG","14","RB29","96.5"
"94","Justin Fields","NYJ","9","QB10","97.5"
"95","Isiah Pacheco","KC","10","RB30","99.0"
"96","Travis Kelce","KC","10","TE6","99.0"
"97","Luther Burden III","CHI","5","WR51","101.0"
"98","RJ Harvey","DEN","12","RB31","101.5"
"99","Michael Pittman Jr.","IND","11","WR52","101.5"
"100","Caleb Williams","CHI","5","QB11","101.5"
"101","Jonnu Smith","MIA","12","TE7","101.5"
"102","D'Andre Swift","CHI","5","RB32","102.0"
"103","Jordan Mason","MIN","6","RB33","102.0"
"104","Brock Purdy","SF","14","QB12","102.0"
